nidId,latitude,longitude,drainageArea,maxDischarge
NE01035,40.85,-100.16,,0
NY00923,42.30666667,-78.15166667,24.3,200
NH00254,44.3677,-71.5575,14.1,2400
NE02075,41.52632179,-97.79218835,2.6,104
NE00450,40.03417248,-97.46794108,3.8000000000000003,392
NC00072,35.215,-79.401,1112,986
ND01002,48.84148,-99.60798,,
MN00242,46.44188,-93.73859,19,360
MA00650,42.56794912,-72.15471472,1.12,
MA02464,41.88781399,-70.5683828,0.5,
MN01732,44.428619999999995,-95.90034,5.7,
MI00839,41.79694444,-85.01722222,0,
MA01262,42.73640331,-73.07509936,2.82,
MA03253,42.211946999999995,-70.868034,0.05,
MA00014,42.53145188,-72.22384026,5.69,
KY00329,38.19166667,-85.3575,0.52,
KY00241,37.21,-87.86,3.3000000000000003,
IA02362,40.8097,-91.366,0.18,0
IL50351,40.50192,-88.92387,2.4,928
IA01908,41.9555,-95.536,1.61,0
IA01766,42.3962,-95.946,0.2,0
IA02744,42.0232,-95.9074,1.04,0
IA00482,41.6257,-95.7438,0.71,0
IA01519,41.8658,-95.5214,0.45,0
IA01713,42.276700000000005,-95.9834,0.27,0
IA00955,41.4362,-95.5937,1.6300000000000001,0
CT00925,41.603733,-71.982737,62.4,
CO03007,39.601672,-105.752508,,74
AR00726,34.54722222,-93.69222222,2.2,16000
SCD5008,34.8099,-82.9706,,
GA05855,34.31185,-82.83757,0.16,100
GA05711,31.881449,-83.731006,0.1,150
SD02167,43.98618307,-102.257434,,1450
SC01674,33.351,-81.3114,,
PA00960,40.69305556,-75.21666667,80.60000000000001,
SC00453,33.513600000000004,-80.482,,
RI03801,41.71738052,-71.49240108,182,4700
NY01233,43.05166667,-75.435,0.16,16
GA05787,32.363172,-83.119659,0.8300000000000001,420
NJ00697,39.41223333333333,-75.30526667,0.15,
NJ00497,41.08345,-74.20181667,0.75,408
NH01095,43.385200000000005,-71.966,6.3,1985
NE01504,40.98887935,-97.21292964,0.8,559
NY00327,43.52166667,-74.94,,5590
ND00006,45.96809,-98.52463,52,
ND00320,47.25678,-98.85572,,
MN01385,44.14101,-93.99348,1,50
MA02532,42.07080545,-71.78038816,2.62,
MN00409,43.52374,-92.5152,64,7509
KY00331,38.14194444,-85.39333333,0.66,
IA01951,40.9589,-93.1589,0.4,0
IA03248,42.3808,-95.835,0.73,0
IA01890,42.1032,-95.8036,1.32,0
IA02487,40.9331,-95.6995,0.17,0
IA01763,42.4991,-95.7526,0.2,0
IA01790,42.5061,-96.3334,0.11,0
IA00478,41.683600000000006,-95.8742,0.46,0
IA02105,41.126000000000005,-94.259,0.4,0
IA01171,42.4317,-95.9799,2.98,0
FL00712,28.275494,-81.545081,0,3100
CT00429,41.354552999999996,-72.506785,0.8300000000000001,258
CO00279,39.140007,-104.702235,1,1683
AR01500,35.2125,-94.20916667,4,151
SC00507,34.1826,-80.2342,,
GA01833,34.313705999999996,-83.515826,1.83,670
UT00506,40.04352347,-109.7856958,0,
GA05888,31.485816999999997,-83.53421,0.05,230
GA05843,32.639313,-84.805584,0.15,160
TX00420,33.74068897,-95.93637555,11,8760
PA00901,41.02,-78.57,3.9,
OR01889,43.14677047,-117.2297974,0,0
OR01385,46.06565093,-122.9356613,0,0
GA05967,31.462242999999997,-83.38595,0.06,500
SC01105,33.7264,-82.0414,,
NJ00896,40.63028333333333,-74.84846667,5.4,
NE01800,40.74623758,-96.21793344,0.4,472
NE01042,41.0006,-100.4999,,
NE01033,40.82,-100.12,9.700000000000001,4000
NY00529,42.01166667,-74.82333333,0.4,170
NY00344,41.86,-74.81444444,,215
NH00454,45.179500000000004,-71.1614,13.23,2456
ND00011,46.29897,-98.26706,240,
MA02885,42.14216131,-71.79048735,1.1300000000000001,
MA02481,42.01601326,-71.00950129,51.4,
MA00591,42.28091,-72.303242,2.43,
MN01611,44.33124,-93.38545,6.4,
MI02420,46.26166667,-86.07666667,0,0
MA03330,42.27796,-71.78558,0.34,
MA00679,42.32637663,-71.90947496,0.44,
KY00634,36.772853,-88.85431,0.07,
KY00294,36.73063,-88.732114,1.92,
IA01954,40.9645,-93.1902,0.36,0
IA02942,41.006,-94.1793,0.43,0
IA01866,41.3117,-95.8281,0.24,0
IA02787,41.984300000000005,-95.8922,0.24,0
IA03090,42.2745,-95.0457,12.3,0
IA01294,42.337700000000005,-91.2577,506,0
IA01785,42.2227,-96.0019,0.22,0
IA01465,41.5362,-94.8816,0.35000000000000003,0
IA01738,41.1222,-94.1879,0.2,0
IA00621,41.4545,-93.854,0.32,0
GA01505,34.111528,-84.306722,2144,
CT00625,41.849201,-72.43274,2.97,53
CO03014,40.196113,-105.216529,0,
AR00243,36.29333333,-91.60333333,0.8,3206
SCD5020,34.6021,-82.7659,,
SCD5005,34.2669,-81.7851,,
SC01563,32.216,-80.9215,,
UT20961,39.47856897,-109.2263222,0,
TX02457,29.996923,-99.107097,554,94500
GA05944,34.469756,-84.367929,0.23,260
RI03502,41.7006607,-71.46073916,2,300
NY00439,42.16277778,-77.79333333,5.47,
OH02257,39.59944444,-82.21166667,0.5,526
NE01397,42.95341503,-103.5167332,1.2,5800
NY00907,42.36666667,-77.15,8.76,2450
NM00021,32.4239,-104.2197,18000,15200
NC05822,36.353,-80.3675,97,
NE01949,40.52288145,-96.49301283,0.2,0
NH00418,43.2158,-71.775,0.9,565
NH00100,42.9333,-72.2894,113,5500
NC05226,35.62667,-79.76444,146,410
MA02493,42.08426663,-70.92573679,6.73,
MN01727,44.51694,-96.05999,19.3,
MD00530,39.606111,-76.996202,0.32,208
MA01269,42.213397,-72.525203,10.1,
MA02280,42.780805,-70.945662,0.9,
MA00005,42.58185331,-72.20668564,3.7,
VA019144,37.5236,-79.35,,
KY00007,38.40055556,-85.44,1.67,
IA01955,40.9739,-93.1991,0.28,0
IA02645,40.577600000000004,-93.9194,0.36,0
